TEAMS,TOTAL_RAIDS_SEASON_6,TOTAL_RAIDS_SEASON_5,TOTAL_RAIDS_SEASON_4,TOTAL_RAIDS_SEASON_3,TOTAL_RAIDS_SEASON_2,TOTAL_RAIDS_SEASON_1,SUCCESSFUL_RAIDS_SEASON_6,SUCCESSFUL_RAIDS_SEASON_5,SUCCESSFUL_RAIDS_SEASON_4,SUCCESSFUL_RAIDS_SEASON_3,SUCCESSFUL_RAIDS_SEASON_2,SUCCESSFUL_RAIDS_SEASON_1,UNSUCCESSFUL_RAID_SEASON_6,UNSUCCESSFUL_RAID_SEASON_5,UNSUCCESSFUL_RAID_SEASON_4,UNSUCCESSFUL_RAID_SEASON_3,UNSUCCESSFUL_RAID_SEASON_2,UNSUCCESSFUL_RAID_SEASON_1,EMPTY_RAIDS_SEASON_6,EMPTY_RAIDS_SEASON_5,EMPTY_RAIDS_SEASON_4,EMPTY_RAIDS_SEASON_3,EMPTY_RAIDS_SEASON_2,EMPTY_RAIDS_SEASON_1,SUCCESS_RAID_%_SEASON_6,SUCCESS_RAID_%_SEASON_5,SUCCESS_RAID_%_SEASON_4,SUCCESS_RAID_%_SEASON_3,SUCCESS_RAID_%_SEASON_2,SUCCESS_RAID_%_SEASON_1,NO._OF_SUPER_RAIDS_SEASON_6,NO._OF_SUPER_RAIDS_SEASON_5,NO._OF_SUPER_RAIDS_SEASON_4,NO._OF_SUPER_RAIDS_SEASON_3,NO._OF_SUPER_RAIDS_SEASON_2,NO._OF_SUPER_RAIDS_SEASON_1,RAID_TOUCH_POINTS_SEASON_6,RAID_TOUCH_POINTS_SEASON_5,RAID_TOUCH_POINTS_SEASON_4,RAID_TOUCH_POINTS_SEASON_3,RAID_TOUCH_POINTS_SEASON_2,RAID_TOUCH_POINTS_SEASON_1,RAID_BONUS_POINTS_SEASON_6,RAID_BONUS_POINTS_SEASON_5,RAID_BONUS_POINTS_SEASON_4,RAID_BONUS_POINTS_SEASON_3,RAID_BONUS_POINTS_SEASON_2,RAID_BONUS_POINTS_SEASON_1,TOTAL_RAID_POINTS_SEASON_6,TOTAL_RAID_POINTS_SEASON_5,TOTAL_RAID_POINTS_SEASON_4,TOTAL_RAID_POINTS_SEASON_3,TOTAL_RAID_POINTS_SEASON_2,TOTAL_RAID_POINTS_SEASON_1
BENGAL WARRIORS,963,1079,602,702,595,546,340,379,167,213,134,213,201,223,125,144,151,146,422,477,310,345,310,187,45%,42%,34%,36%,31%,52%,16,11,4,4,9,11,341,333,154,204,151,220,95,122,48,46,33,63,436,455,202,250,184,283
BENGALURU BULLS,1005,943,605,603,730,647,431,336,157,158,194,225,211,195,143,148,163,172,363,412,305,297,373,250,54%,42%,33%,35%,35%,45%,20,5,4,9,10,7,428,294,147,181,222,244,119,99,54,28,30,47,547,393,201,209,252,291
DABANG DELHI K.C.,997,973,619,614,585,559,401,283,162,171,159,246,224,214,120,162,151,139,372,476,337,281,275,174,48%,35%,37%,38%,37%,51%,13,6,11,5,14,5,367,260,170,175,174,228,116,84,56,58,43,57,483,344,226,233,217,285
GUJARAT FORTUNEGIANTS,1072,1055,0,0,0,0,392,335,0,0,0,0,246,211,0,0,0,0,434,509,0,0,0,0,45%,38%,0,0,0,0,10,11,0,0,0,0,385,346,0,0,0,0,95,59,0,0,0,0,480,405,0,0,0,0
HARYANA STEELERS,941,1030,0,0,0,0,361,327,0,0,0,0,230,206,0,0,0,0,350,497,0,0,0,0,48%,39%,0,0,0,0,12,12,0,0,0,0,306,324,0,0,0,0,141,80,0,0,0,0,447,404,0,0,0,0
JAIPUR PINK PANTHERS,949,962,666,593,599,621,334,288,203,149,183,270,220,236,139,152,152,125,395,438,324,292,264,226,44%,37%,41%,33%,39%,55%,13,13,6,8,5,9,313,297,221,147,189,291,102,56,49,46,43,53,415,353,270,193,232,344
PATNA PIRATES,934,1173,692,703,701,638,406,487,206,241,182,253,226,238,152,129,159,134,302,448,334,333,360,251,53%,54%,38%,46%,33%,50%,11,26,7,16,4,13,376,508,224,272,185,252,120,129,40,52,43,64,496,637,264,324,228,316
PUNERI PALTAN,940,1042,716,698,600,552,286,304,230,203,170,204,228,223,151,133,151,148,426,515,335,362,279,200,37%,36%,40%,36%,37%,49%,7,12,10,9,8,11,235,321,246,215,186,207,111,58,44,36,37,62,346,379,290,251,223,269
TAMIL THALAIVAS,925,1022,0,0,0,0,344,351,0,0,0,0,222,207,0,0,0,0,359,464,0,0,0,0,45%,40%,0,0,0,0,7,5,0,0,0,0,314,309,0,0,0,0,105,101,0,0,0,0,419,410,0,0,0,0
TELUGU TITANS,953,971,687,609,707,569,289,332,206,206,265,272,229,197,133,133,143,116,435,442,348,270,299,181,37%,41%,39%,42%,49%,59%,9,10,7,3,16,8,246,301,225,201,297,291,107,99,42,53,47,45,353,400,267,254,344,336
U MUMBA,978,963,594,685,697,624,372,322,188,206,187,270,196,219,131,139,154,134,410,422,275,340,356,220,47%,44%,38%,37%,34%,56%,15,10,4,7,7,12,372,298,164,211,206,262,87,121,63,42,31,85,459,419,227,253,237,347
U.P. YODDHA,1068,1002,0,0,0,0,357,358,0,0,0,0,255,221,0,0,0,0,456,423,0,0,0,0,42%,46%,0,0,0,0,10,23,0,0,0,0,318,347,0,0,0,0,131,114,0,0,0,0,449,461,0,0,0,0
