TEAMS,MATCHES_PLAYED_SEASON_6,MATCHES_PLAYED_SEASON_5,MATCHES_PLAYED_SEASON_4,MATCHES_PLAYED_SEASON_3,MATCHES_PLAYED_SEASON_2,MATCHES_PLAYED_SEASON_1,WINS_SEASON_6,WINS_SEASON_5,WINS_SEASON_4,WINS_SEASON_3,WINS_SEASON_2,WINS_SEASON_1,DRAWS_SEASON_6,DRAWS_SEASON_5,DRAWS_SEASON_4,DRAWS_SEASON_3,DRAWS_SEASON_2,DRAWS_SEASON_1,LOSSES_SEASON_6,LOSSES_SEASON_5,LOSSES_SEASON_4,LOSSES_SEASON_3,LOSSES_SEASON_2,LOSSES_SEASON_1,FINISHING_POSITION_SEASON_6,FINISHING_POSITION_SEASON_5,FINISHING_POSITION_SEASON_4,FINISHING_POSITION_SEASON_3,FINISHING_POSITION_SEASON_2,FINISHING_POSITION_SEASON_1
BENGAL WARRIORS,23,24,14,16,14,14,12,11,3,9,4,4,2,6,2,0,1,1,9,7,9,7,9,9,2,1,8,4,6,7
BENGALURU BULLS,24,22,14,14,16,16,15,8,5,2,10,8,2,3,1,0,0,1,7,11,8,12,6,7,1,4,6,7,3,3
DABANG DELHI K.C.,24,22,14,14,14,14,12,5,4,1,4,5,2,1,1,1,1,1,10,16,9,12,9,8,3,6,7,8,6,6
GUJARAT FORTUNEGIANTS,25,24,0,0,0,0,18,16,0,0,0,0,2,3,0,0,0,0,5,5,0,0,0,0,1,1,0,0,0,0
HARYANA STEELERS,22,23,0,0,0,0,6,13,0,0,0,0,2,4,0,0,0,0,14,6,0,0,0,0,6,3,0,0,0,0
JAIPUR PINK PANTHERS,22,22,16,14,14,16,6,8,9,4,6,12,3,1,1,2,1,1,13,13,6,8,7,3,5,5,3,6,5,1
PATNA PIRATES,22,26,16,16,16,16,9,14,12,12,7,8,2,5,0,2,1,2,11,7,4,2,8,6,4,2,1,2,4,4
PUNERI PALTAN,22,24,16,16,14,14,8,16,7,8,2,2,2,0,2,3,1,0,12,8,7,5,11,12,4,2,4,3,8,8
TAMIL THALAIVAS,22,22,0,0,0,0,5,6,0,0,0,0,4,2,0,0,0,0,13,14,0,0,0,0,6,6,0,0,0,0
TELUGU TITANS,22,22,16,14,16,14,8,7,8,7,9,6,1,3,2,0,3,3,13,12,6,7,4,5,5,5,2,5,2,5
U MUMBA,23,22,14,16,16,16,15,10,7,13,14,9,2,0,1,0,0,3,6,12,6,3,2,4,2,4,4,1,1,2
U.P. YODDHA,25,23,0,0,0,0,10,8,0,0,0,0,4,4,0,0,0,0,11,11,0,0,0,0,3,3,0,0,0,0
